ID,PC,Opcode,Bitwidth,Execution_Count,Avg_Latency,MemLevel,BranchCount,Execution_Count_Cum,Avg_Latency_Cum,Opcode_Num,Opcode_Num_Norm,Bitwidth_Norm,Execution_Count_Norm,Avg_Latency_Norm,FSS_Score
1091,0x7ffff7fcf143,ARITH,64.0,11.0,55.46999999999984,,0.0,765.0,55.47,3.0,0.75,0.4666666666666667,0.004,0.05296976293453235,0.31840910740029976
1248,0x7ffff7fcf143,ARITH,64.0,274.0,54.408248175182486,,0.0,1039.0,55.19,3.0,0.75,0.4666666666666667,0.1092,0.0519560509219894,0.34445567939716404
1250,0x7ffff7fcf143,ARITH,64.0,25.0,55.19,,0.0,1064.0,55.19,3.0,0.75,0.4666666666666667,0.009600000000000001,0.05270243175894365,0.31974227460640264
1259,0x7ffff7fcf143,ARITH,64.0,21.0,54.67333333333365,,0.0,1085.0,55.18,3.0,0.75,0.4666666666666667,0.008000000000000002,0.052209142089702634,0.31921895218909235
1298,0x7ffff7fcf143,ARITH,64.0,51.0,54.06627450980387,,0.0,1136.0,55.13,3.0,0.75,0.4666666666666667,0.02,0.05162955012918193,0.3220740541989622
1363,0x7ffff7fcf143,ARITH,64.0,122.0,56.36737704918033,,0.0,1258.0,55.25,3.0,0.75,0.4666666666666667,0.048400000000000006,0.0538265374399033,0.32972330102664255
814,0x7ffff7fcf143,ARITH,64.0,140.0,53.26,,0.0,140.0,53.26,3.0,0.75,0.4666666666666667,0.055600000000000004,0.05085975615577769,0.33078160570561116
825,0x7ffff7fcf143,ARITH,64.0,14.0,59.42000000000007,,0.0,154.0,53.82,3.0,0.75,0.4666666666666667,0.0052,0.05674104201873234,0.3196519271713498
924,0x7ffff7fcf143,ARITH,64.0,207.0,54.72685990338165,,0.0,361.0,54.34,3.0,0.75,0.4666666666666667,0.0824,0.05226024680718896,0.3378317283684639
935,0x7ffff7fcf143,ARITH,64.0,13.0,58.9430769230768,,0.0,374.0,54.5,3.0,0.75,0.4666666666666667,0.0048000000000000004,0.05628569770866324,0.3194380910938325
948,0x7ffff7fcf143,ARITH,64.0,36.0,55.98055555555553,,0.0,410.0,54.63,3.0,0.75,0.4666666666666667,0.014000000000000002,0.05345721799478277,0.3210309711653624
1022,0x7ffff7fcf147,OTHER,64.0,605.0,55.06,,0.0,605.0,55.06,0.0,0.0,0.4666666666666667,0.2416,0.052578313713134546,0.19021124509495033
1046,0x7ffff7fcf147,OTHER,64.0,46.0,59.871739130434754,,0.0,651.0,55.4,0.0,0.0,0.4666666666666667,0.018,0.057172341850155864,0.13545975212920564
1059,0x7ffff7fcf147,OTHER,64.0,36.0,57.6900000000001,,0.0,687.0,55.52,0.0,0.0,0.4666666666666667,0.014000000000000002,0.05508931725527272,0.13393899598048487
1072,0x7ffff7fcf147,OTHER,64.0,35.0,55.72628571428567,,0.0,722.0,55.53,0.0,0.0,0.4666666666666667,0.013600000000000001,0.05321445279627041,0.13337027986573427
1124,0x7ffff7fcf147,OTHER,64.0,108.0,55.453148148148166,,0.0,830.0,55.52,0.0,0.0,0.4666666666666667,0.042800000000000005,0.052953673558223925,0.14060508505622266
1164,0x7ffff7fcf147,OTHER,64.0,86.0,56.58511627906968,,0.0,916.0,55.62,0.0,0.0,0.4666666666666667,0.034,0.0540344248838252,0.13867527288762296
1201,0x7ffff7fcf147,OTHER,64.0,76.0,56.40315789473684,,0.0,992.0,55.68,0.0,0.0,0.4666666666666667,0.03,0.0538606993524254,0.13763184150477303
1322,0x7ffff7fcf147,OTHER,64.0,175.0,56.480228571428576,,0.0,1167.0,55.8,0.0,0.0,0.4666666666666667,0.06960000000000001,0.0539342829045805,0.14755023739281178
471,0x7ffff7fcf147,OTHER,64.0,33.0,50.42,,0.0,33.0,50.42,0.0,0.0,0.4666666666666667,0.0128,0.04814825423194798,0.13190373022465365
476,0x7ffff7fcf147,OTHER,64.0,10.0,60.82600000000002,,0.0,43.0,52.84,0.0,0.0,0.4666666666666667,0.0036,0.0580834264218677,0.13208752327213358
481,0x7ffff7fcf147,OTHER,64.0,11.0,63.983636363636336,,0.0,54.0,55.11,0.0,0.0,0.4666666666666667,0.004,0.06109819299748549,0.13294121491603805
486,0x7ffff7fcf147,OTHER,64.0,15.0,61.87199999999999,,0.0,69.0,56.58,0.0,0.0,0.4666666666666667,0.0056,0.059082099313531714,0.1328371914950496
832,0x7ffff7fcf147,OTHER,64.0,101.0,55.132475247524745,,0.0,170.0,55.72,0.0,0.0,0.4666666666666667,0.04000000000000001,0.052647509759998413,0.13982854410666629
843,0x7ffff7fcf147,OTHER,64.0,14.0,59.40000000000003,,0.0,184.0,56.0,0.0,0.0,0.4666666666666667,0.0052,0.056721946934761666,0.13214715340035707
867,0x7ffff7fcf147,OTHER,64.0,51.0,52.083333333333336,,0.0,235.0,55.15,0.0,0.0,0.4666666666666667,0.02,0.04973632871550552,0.13410074884554304
891,0x7ffff7fcf147,OTHER,64.0,50.0,56.29,,0.0,285.0,55.35,0.0,0.0,0.4666666666666667,0.0196,0.0537526613773284,0.13500483201099878
910,0x7ffff7fcf147,OTHER,64.0,37.0,53.6964864864865,,0.0,322.0,55.16,0.0,0.0,0.4666666666666667,0.014400000000000001,0.051276493461352976,0.1330857900320049
995,0x7ffff7fcf147,OTHER,64.0,212.0,54.78216981132076,,0.0,534.0,55.01,0.0,0.0,0.4666666666666667,0.0844,0.052313054174014224,0.15084493021017023
1015,0x7ffff7fcf14b,ARITH,64.0,581.0,54.58,,0.0,581.0,54.58,3.0,0.75,0.4666666666666667,0.232,0.05212003169783938,0.37519667459112654
1097,0x7ffff7fcf14b,ARITH,64.0,196.0,54.381785714285705,,0.0,777.0,54.53,3.0,0.75,0.4666666666666667,0.078,0.051930785776344725,0.3366493631107529
1110,0x7ffff7fcf14b,ARITH,64.0,30.0,49.95699999999997,,0.0,807.0,54.36,3.0,0.75,0.4666666666666667,0.011600000000000001,0.047706203038027827,0.31899321742617365
1116,0x7ffff7fcf14b,ARITH,64.0,4.0,64.49749999999949,,0.0,811.0,54.41,3.0,0.75,0.4666666666666667,0.0012000000000000001,0.06158880646177592,0.3198638682821107
